title,make,model,year,condition,transmission,price
Lexus ES 350 2009 Black,Lexus,ES 350,2009,Foreign Used,Automatic,11000000.0
Toyota Camry XLE 4dr Sedan (2.5L 4cyl 6A) 2013 Black,Toyota,Camry XLE,2013,Local Used,Automatic,11500000.0
Honda Jazz 2007 Silver,Honda,Jazz,2007,Local Used,Automatic,6500000.0
BMW 528i 2013 Blue,BMW,528i,2013,Foreign Used,Automatic,12800000.0
Peugeot 307 2006 Silver,Peugeot,307,2006,Foreign Used,Manual,5900000.0
Peugeot 307 2007 Red,Peugeot,307,2007,Local Used,Automatic,5000000.0
Audi A5 2010 Black,Audi,A5,2010,Local Used,Automatic,9900000.0
Toyota Matrix 2009 Silver,Toyota,Matrix,2009,Local Used,Automatic,7700000.0
Lexus ES 2014 White,Lexus,ES,2014,Foreign Used,Automatic,16700000.0
Toyota Camry LE 4dr Sedan (2.5L 4cyl 6A) 2011 Green,Toyota,Camry LE,2011,Foreign Used,Automatic,10200000.0
Toyota Avalon Limited Sedan FWD (3.5L 6cyl 6A) 2017 Black,Toyota,Avalon Limited,2017,Foreign Used,Automatic,21500000.0
Toyota Camry SE Sport 4dr Sedan (2.5L 4cyl 6A) 2014 Gray,Toyota,Camry SE,2014,Foreign Used,Automatic,14200000.0
Acura MDX Technology Package SUV AWD (3.7L 6cyl 6A) 2011 Black,Acura,MDX Technology,2011,Foreign Used,Automatic,10800000.0
Toyota 4-Runner 2000 Gray,Toyota,4-Runner,2000,Foreign Used,Automatic,8000000.0
Acura MDX Technology Package SUV AWD (3.7L 6cyl 6A) 2013 Black,Acura,MDX Technology,2013,Foreign Used,Automatic,10500000.0
Toyota Venza 2012 Brown,Toyota,Venza,2012,Foreign Used,Automatic,16000000.0
Hyundai Elantra 2017 White,Hyundai,Elantra,2017,Foreign Used,Automatic,16000000.0
Mercedes-Benz C300 2016 Black,Mercedes Benz,C300,2016,Foreign Used,Automatic,22000000.0
Toyota RAV4 2014 Silver,Toyota,RAV4,2014,Local Used,Automatic,13800000.0
Honda Accord 2005 Silver,Honda,Accord,2005,Local Used,Automatic,3500000.0
Peugeot 307 2008 Silver,Peugeot,307,2008,Foreign Used,Manual,6500000.0
Lexus RX 350 AWD 2009 Silver,Lexus,RX 350,2009,Foreign Used,Automatic,13500000.0
Toyota Highlander 2013 Green,Toyota,Highlander,2013,Foreign Used,Automatic,17150000.0
Lexus RX 350 AWD 2009 Gray,Lexus,RX 350,2009,Foreign Used,Automatic,13200000.0
Toyota RAV4 2009 Blue,Toyota,RAV4,2009,Foreign Used,Automatic,11500000.0
Toyota Camry 2015 Gray,Toyota,Camry,2015,Local Used,Automatic,17592187.0
Toyota Corolla LE 4dr Sedan (1.8L 4cyl 4A) 2013 Gold,Toyota,Corolla LE,2013,Foreign Used,Automatic,13000000.0
Acura MDX 2018 Silver,Acura,MDX,2018,Foreign Used,Automatic,32500000.0
Toyota Venza Limited 4dr Wagon AWD (3.5L 6cyl 6A) 2015 Black,Toyota,Venza Limited,2015,Foreign Used,Automatic,23000000.0
Honda Accord 2014 Black,Honda,Accord,2014,Foreign Used,Automatic,14500000.0
Lexus RX 350 4x4 2009 Silver,Lexus,RX 350,2009,Foreign Used,Automatic,13200000.0
Toyota Corolla 2018 Gray,Toyota,Corolla,2018,Local Used,Automatic,12400000.0
Mitsubishi Outlander 2013 White,Mitsubishi,Outlander,2013,Local Used,Automatic,10000000.0
Toyota Camry 2010 Silver,Toyota,Camry,2010,Local Used,Automatic,7900000.0
Chevrolet Camaro LS 2dr Coupe w/1LS (3.6L 6cyl 6M) 2016 Red,Chevrolet,Camaro LS,2016,Foreign Used,Automatic,25500000.0
Ford Focus 2011 Red,Ford,Focus,2011,Foreign Used,Automatic,11800000.0
